TAG_TIMESTAMP,LOCAL_TIME,WELL_NAME,VALVE_NAME,TAG_NAME,TAG_VALUE,TAG_DESCRIPTION
42:02.0,9/13/2024 5:42,WELL_04,VALVE_B,PRESSURE_1,6.103701895,PRESSURE 1
39:15.6,9/13/2024 5:39,WELL_04,VALVE_B,PRESSURE_1,1221.961119,PRESSURE 1
32:43.4,9/13/2024 5:32,WELL_04,VALVE_B,PRESSURE_1,1247.596667,PRESSURE 1
18:32.7,9/13/2024 5:18,WELL_04,VALVE_B,PRESSURE_1,1273.232215,PRESSURE 1
17:20.6,9/13/2024 5:17,WELL_04,VALVE_B,PRESSURE_1,1247.596667,PRESSURE 1
16:02.6,9/13/2024 5:16,WELL_04,VALVE_B,PRESSURE_1,1221.961119,PRESSURE 1
15:02.1,9/13/2024 5:15,WELL_04,VALVE_B,PRESSURE_1,1196.325571,PRESSURE 1
08:29.9,9/13/2024 5:08,WELL_04,VALVE_B,PRESSURE_1,1170.690023,PRESSURE 1
02:02.4,9/13/2024 5:02,WELL_04,VALVE_B,PRESSURE_1,1196.325571,PRESSURE 1
58:23.6,9/13/2024 4:58,WELL_04,VALVE_B,PRESSURE_1,1221.961119,PRESSURE 1
55:20.9,9/13/2024 4:55,WELL_04,VALVE_B,PRESSURE_1,1247.596667,PRESSURE 1
52:47.3,9/13/2024 4:52,WELL_04,VALVE_B,PRESSURE_1,1273.232215,PRESSURE 1
50:27.6,9/13/2024 4:50,WELL_04,VALVE_B,PRESSURE_1,1298.867763,PRESSURE 1
48:27.8,9/13/2024 4:48,WELL_04,VALVE_B,PRESSURE_1,1324.503311,PRESSURE 1
46:11.6,9/13/2024 4:46,WELL_04,VALVE_B,PRESSURE_1,1350.138859,PRESSURE 1
43:20.5,9/13/2024 4:43,WELL_04,VALVE_B,PRESSURE_1,1375.774407,PRESSURE 1
39:45.2,9/13/2024 4:39,WELL_04,VALVE_B,PRESSURE_1,1401.409955,PRESSURE 1
37:46.5,9/13/2024 4:37,WELL_04,VALVE_B,PRESSURE_1,1374.553667,PRESSURE 1
36:30.9,9/13/2024 4:36,WELL_04,VALVE_B,PRESSURE_1,1348.918119,PRESSURE 1
35:19.9,9/13/2024 4:35,WELL_04,VALVE_B,PRESSURE_1,1323.282571,PRESSURE 1
34:14.7,9/13/2024 4:34,WELL_04,VALVE_B,PRESSURE_1,1297.647023,PRESSURE 1
33:43.3,9/13/2024 4:33,WELL_04,VALVE_B,PRESSURE_1,1272.011475,PRESSURE 1
33:16.6,9/13/2024 4:33,WELL_04,VALVE_B,PRESSURE_1,1245.155187,PRESSURE 1
32:59.1,9/13/2024 4:32,WELL_04,VALVE_B,PRESSURE_1,1218.298898,PRESSURE 1
32:48.6,9/13/2024 4:32,WELL_04,VALVE_B,PRESSURE_1,1192.66335,PRESSURE 1
32:12.5,9/13/2024 4:32,WELL_04,VALVE_B,PRESSURE_1,1165.807062,PRESSURE 1
31:55.1,9/13/2024 4:31,WELL_04,VALVE_B,PRESSURE_1,1191.44261,PRESSURE 1
31:38.8,9/13/2024 4:31,WELL_04,VALVE_B,PRESSURE_1,1217.078158,PRESSURE 1
31:23.7,9/13/2024 4:31,WELL_04,VALVE_B,PRESSURE_1,1245.155187,PRESSURE 1
31:10.9,9/13/2024 4:31,WELL_04,VALVE_B,PRESSURE_1,1272.011475,PRESSURE 1
31:00.4,9/13/2024 4:31,WELL_04,VALVE_B,PRESSURE_1,1300.088504,PRESSURE 1
30:49.9,9/13/2024 4:30,WELL_04,VALVE_B,PRESSURE_1,1326.944792,PRESSURE 1
30:40.6,9/13/2024 4:30,WELL_04,VALVE_B,PRESSURE_1,1355.021821,PRESSURE 1
30:33.6,9/13/2024 4:30,WELL_04,VALVE_B,PRESSURE_1,1380.657369,PRESSURE 1
30:27.8,9/13/2024 4:30,WELL_04,VALVE_B,PRESSURE_1,1406.292917,PRESSURE 1
30:19.7,9/13/2024 4:30,WELL_04,VALVE_B,PRESSURE_1,1434.369945,PRESSURE 1
30:06.9,9/13/2024 4:30,WELL_04,VALVE_B,PRESSURE_1,1461.226234,PRESSURE 1
30:04.5,9/13/2024 4:30,WELL_04,VALVE_B,PRESSURE_1,1434.369945,PRESSURE 1
30:01.0,9/13/2024 4:30,WELL_04,VALVE_B,PRESSURE_1,1400.189215,PRESSURE 1
29:57.6,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1366.008484,PRESSURE 1
29:55.2,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1329.386273,PRESSURE 1
29:52.9,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1303.750725,PRESSURE 1
29:50.6,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1276.894436,PRESSURE 1
29:44.7,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1235.389264,PRESSURE 1
29:37.8,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1261.024812,PRESSURE 1
29:30.8,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1293.984802,PRESSURE 1
29:25.0,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1325.724052,PRESSURE 1
29:20.3,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1352.58034,PRESSURE 1
29:15.7,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1380.657369,PRESSURE 1
29:11.0,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1406.292917,PRESSURE 1
29:07.5,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1433.149205,PRESSURE 1
29:02.9,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1461.226234,PRESSURE 1
29:00.5,9/13/2024 4:29,WELL_04,VALVE_B,PRESSURE_1,1339.152196,PRESSURE 1
28:59.4,9/13/2024 4:28,WELL_04,VALVE_B,PRESSURE_1,1368.449965,PRESSURE 1
30:40.3,9/12/2024 20:30,WELL_04,VALVE_B,PRESSURE_1,9.765923032,PRESSURE 1
26:32.4,9/12/2024 20:26,WELL_04,VALVE_B,PRESSURE_1,1272.011475,PRESSURE 1
18:34.1,9/12/2024 20:18,WELL_04,VALVE_B,PRESSURE_1,1246.375927,PRESSURE 1
17:06.9,9/12/2024 20:17,WELL_04,VALVE_B,PRESSURE_1,1220.740379,PRESSURE 1
06:40.8,9/12/2024 20:06,WELL_04,VALVE_B,PRESSURE_1,1195.104831,PRESSURE 1
03:31.1,9/12/2024 20:03,WELL_04,VALVE_B,PRESSURE_1,1220.740379,PRESSURE 1
56:49.6,9/12/2024 19:56,WELL_04,VALVE_B,PRESSURE_1,1246.375927,PRESSURE 1
55:31.6,9/12/2024 19:55,WELL_04,VALVE_B,PRESSURE_1,1220.740379,PRESSURE 1
55:01.4,9/12/2024 19:55,WELL_04,VALVE_B,PRESSURE_1,1195.104831,PRESSURE 1
53:51.5,9/12/2024 19:53,WELL_04,VALVE_B,PRESSURE_1,1169.469283,PRESSURE 1
51:15.6,9/12/2024 19:51,WELL_04,VALVE_B,PRESSURE_1,1195.104831,PRESSURE 1
48:51.3,9/12/2024 19:48,WELL_04,VALVE_B,PRESSURE_1,1220.740379,PRESSURE 1
46:51.4,9/12/2024 19:46,WELL_04,VALVE_B,PRESSURE_1,1246.375927,PRESSURE 1
45:05.5,9/12/2024 19:45,WELL_04,VALVE_B,PRESSURE_1,1272.011475,PRESSURE 1
43:34.8,9/12/2024 19:43,WELL_04,VALVE_B,PRESSURE_1,1297.647023,PRESSURE 1
42:12.1,9/12/2024 19:42,WELL_04,VALVE_B,PRESSURE_1,1323.282571,PRESSURE 1
41:00.0,9/12/2024 19:40,WELL_04,VALVE_B,PRESSURE_1,1348.918119,PRESSURE 1
39:59.5,9/12/2024 19:39,WELL_04,VALVE_B,PRESSURE_1,1374.553667,PRESSURE 1
39:07.1,9/12/2024 19:39,WELL_04,VALVE_B,PRESSURE_1,1400.189215,PRESSURE 1
38:25.2,9/12/2024 19:38,WELL_04,VALVE_B,PRESSURE_1,1425.824763,PRESSURE 1
37:45.6,9/12/2024 19:37,WELL_04,VALVE_B,PRESSURE_1,1451.460311,PRESSURE 1
37:10.7,9/12/2024 19:37,WELL_04,VALVE_B,PRESSURE_1,1478.316599,PRESSURE 1
36:42.8,9/12/2024 19:36,WELL_04,VALVE_B,PRESSURE_1,1505.172887,PRESSURE 1
36:06.7,9/12/2024 19:36,WELL_04,VALVE_B,PRESSURE_1,1532.029176,PRESSURE 1
35:13.2,9/12/2024 19:35,WELL_04,VALVE_B,PRESSURE_1,1506.393628,PRESSURE 1
32:57.0,9/12/2024 19:32,WELL_04,VALVE_B,PRESSURE_1,1480.75808,PRESSURE 1
32:39.6,9/12/2024 19:32,WELL_04,VALVE_B,PRESSURE_1,1455.122532,PRESSURE 1
32:24.4,9/12/2024 19:32,WELL_04,VALVE_B,PRESSURE_1,1429.486984,PRESSURE 1
32:10.5,9/12/2024 19:32,WELL_04,VALVE_B,PRESSURE_1,1401.409955,PRESSURE 1
32:00.0,9/12/2024 19:32,WELL_04,VALVE_B,PRESSURE_1,1372.112186,PRESSURE 1
31:49.5,9/12/2024 19:31,WELL_04,VALVE_B,PRESSURE_1,1345.255898,PRESSURE 1
31:40.2,9/12/2024 19:31,WELL_04,VALVE_B,PRESSURE_1,1318.399609,PRESSURE 1
31:29.7,9/12/2024 19:31,WELL_04,VALVE_B,PRESSURE_1,1292.764061,PRESSURE 1
30:58.3,9/12/2024 19:30,WELL_04,VALVE_B,PRESSURE_1,1265.907773,PRESSURE 1
30:47.9,9/12/2024 19:30,WELL_04,VALVE_B,PRESSURE_1,1292.764061,PRESSURE 1
30:39.7,9/12/2024 19:30,WELL_04,VALVE_B,PRESSURE_1,1318.399609,PRESSURE 1
30:31.6,9/12/2024 19:30,WELL_04,VALVE_B,PRESSURE_1,1345.255898,PRESSURE 1
30:24.6,9/12/2024 19:30,WELL_04,VALVE_B,PRESSURE_1,1373.332926,PRESSURE 1
30:18.8,9/12/2024 19:30,WELL_04,VALVE_B,PRESSURE_1,1400.189215,PRESSURE 1
30:03.6,9/12/2024 19:30,WELL_04,VALVE_B,PRESSURE_1,1427.045503,PRESSURE 1
30:01.3,9/12/2024 19:30,WELL_04,VALVE_B,PRESSURE_1,1401.409955,PRESSURE 1
